Date,yhat,yhat_lower_80,yhat_upper_80,yhat_lower_95,yhat_upper_95,model,horizon
2026-03-01,49.5315,44.3752,54.6878,41.6456,57.4173,SARIMAX,1
2026-04-01,41.8121,34.8803,48.7438,31.2109,52.4133,SARIMAX,2
2026-05-01,40.5619,32.2831,48.8407,27.9005,53.2233,SARIMAX,3
2026-06-01,47.0617,37.6365,56.4869,32.6472,61.4763,SARIMAX,4
2026-07-01,48.345,37.9004,58.7896,32.3714,64.3187,SARIMAX,5
2026-08-01,48.3797,37.007,59.7523,30.9867,65.7727,SARIMAX,6
2026-09-01,47.6014,35.371,59.8319,28.8966,66.3063,SARIMAX,7
2026-10-01,50.3719,37.3401,63.4038,30.4414,70.3025,SARIMAX,8
2026-11-01,53.8077,40.0209,67.5946,32.7225,74.8929,SARIMAX,9
2026-12-01,53.3482,38.8454,67.851,31.1681,75.5283,SARIMAX,10
2027-01-01,54.8464,39.6607,70.0321,31.6219,78.0709,SARIMAX,11
2027-02-01,49.9135,34.0852,65.7417,25.7062,74.1207,SARIMAX,12
2026-03-01,51.6322,45.8835,57.1963,42.5526,60.1162,ETS,1
2026-04-01,42.8017,36.0725,50.3753,32.522,53.3053,ETS,2
2026-05-01,42.1508,34.4993,49.7568,30.558,53.8903,ETS,3
2026-06-01,48.6502,40.8912,57.1761,36.5218,61.8935,ETS,4
2026-07-01,47.5453,37.989,57.3471,33.4229,62.3168,ETS,5
2026-08-01,47.5804,37.927,57.6887,32.4954,63.0861,ETS,6
2026-09-01,46.8022,36.5726,57.8665,30.8467,63.3002,ETS,7
2026-10-01,49.5731,38.6242,61.1323,32.9601,67.0094,ETS,8
2026-11-01,53.0097,41.7233,65.5569,35.1616,72.1188,ETS,9
2026-12-01,52.5526,40.4775,65.434,33.6087,71.2472,ETS,10
2027-01-01,55.0492,42.6573,68.5999,35.2484,74.4289,ETS,11
2027-02-01,50.1999,36.8882,63.782,30.9981,71.2323,ETS,12
2026-03-01,53.7589,48.6512,59.1101,45.9377,61.953,Prophet,1
2026-04-01,46.8243,41.2439,52.3819,38.2793,55.3344,Prophet,2
2026-05-01,44.1698,39.0786,49.9766,36.3739,53.0615,Prophet,3
2026-06-01,50.4152,44.9488,55.6172,42.0448,58.3808,Prophet,4
2026-07-01,50.3422,44.2871,55.8618,41.0704,58.7941,Prophet,5
2026-08-01,50.6986,44.968,56.261,41.9236,59.216,Prophet,6
2026-09-01,49.0924,43.818,54.3707,41.0159,57.1748,Prophet,7
2026-10-01,51.045,45.8714,56.5337,43.1228,59.4495,Prophet,8
2026-11-01,55.5291,50.1252,60.7978,47.2544,63.5968,Prophet,9
2026-12-01,54.9315,49.1816,60.5749,46.1269,63.5729,Prophet,10
2027-01-01,56.2,50.624,61.8035,47.6617,64.7804,Prophet,11
2027-02-01,51.4319,46.0574,56.7504,43.2023,59.5759,Prophet,12
2026-03-01,51.4428,46.0849,56.8,43.1416,59.6294,Ensemble,1
2026-04-01,43.5338,37.043,50.3247,33.6083,53.531,Ensemble,2
2026-05-01,42.1191,34.9346,49.4818,31.1682,53.4212,Ensemble,3
2026-06-01,48.5496,40.8052,56.5004,36.6076,60.7859,Ensemble,4
2026-07-01,48.5981,39.6691,57.4704,35.118,62.0905,Ensemble,5
2026-08-01,48.7203,39.5053,58.0546,34.5076,63.0156,Ensemble,6
2026-09-01,47.717,38.1035,57.6342,32.8991,62.7332,Ensemble,7
2026-10-01,50.2652,40.1254,60.712,34.8029,66.1572,Ensemble,8
2026-11-01,53.9863,43.3857,65.0075,37.5584,70.8154,Ensemble,9
2026-12-01,53.4902,42.2477,64.996,36.1206,70.725,Ensemble,10
2027-01-01,55.288,43.7284,67.2753,37.2984,73.1363,Ensemble,11
2027-02-01,50.4302,38.357,62.5862,32.3827,69.1184,Ensemble,12
